sentence,emotion
How dare they lie to my face like that!,anger
I used to look forward to mornings but now I just dread them.,sadness
There was mold all over the leftovers in the fridge.,disgust
I was trembling with rage by the time the meeting ended.,anger
She updated the spreadsheet and shared it with the team.,neutral
My grandmother is gone and the silence in her house is deafening.,sadness
I can't stop thinking about what could go wrong — the worry is consuming me.,fear
My child called out from the dark room and I sprinted with my heart pounding.,fear
Driving through the storm with zero visibility was absolutely terrifying.,fear
The meeting has been rescheduled to Thursday.,neutral
The overflowing trash cans outside the restaurant were covered in flies.,disgust
I cried myself to sleep thinking about what we lost.,sadness
I've been wearing the same clothes for days and can't find the energy to care.,sadness
I never thought I'd see them win the championship — unbelievable!,surprise
I feel a fire in my chest every time I think about the injustice of it.,anger
How could they just cancel everything without even telling me?,anger
Every small victory my child has makes me feel like I've won everything.,joy
My best friend just told me she's pregnant — I'm overjoyed!,joy
The garbage has been sitting outside for days and it reeks.,disgust
My heart swells every time I watch him take his first steps.,joy
The server migration was completed during the maintenance window.,neutral
The dog had rolled in something dead and the smell was overwhelming.,disgust
The dumpster behind the restaurant overflowed with festering food waste.,disgust
She betrayed my trust and I will never forgive her for it.,anger
Finishing a good book on a rainy day makes me feel so content.,joy
Sometimes I wonder if anyone would notice if I just disappeared.,sadness
The dish had an odd slimy texture that made everyone put their forks down.,disgust
I want to scream — they did it again without asking me!,anger
I heard a strange noise downstairs in the middle of the night.,fear
My stomach dropped when the elevator stopped between floors.,fear
I couldn't sleep because I kept imagining the worst possible outcomes.,fear
Every shadow in the room made me panic after watching that film.,fear
They announced my name as the winner and I froze.,surprise
They showed up at my doorstep completely unannounced — what a shock!,surprise
The conference room is available from two to four.,neutral
The rollercoaster drop made my stomach lurch with terror.,fear
The trash bag burst open and spilled rotting food everywhere.,disgust
They offered me the job on the spot — I was completely taken aback.,surprise
I froze when I heard an unfamiliar voice in the next room.,fear
He stopped eating and barely gets out of bed since she left.,sadness
There was grease and grime caked all over the stove — absolutely disgusting.,disgust
They went behind my back and I will not let this go.,anger
The package was delivered to the front door.,neutral
We stayed up all night talking and laughing — those are the best nights.,joy
I stormed out of the meeting before I said something I'd regret.,anger
Hearing a child laugh freely is one of the most beautiful sounds.,joy
